Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
Tommy Pham,MLB-NL,St. Louis,1,Colorado,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brandon Phillips,MLB-NL,Cincinnati,1,Chicago,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Pillar,MLB-AL,Toronto,1,Seattle,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Manny Pina,MLB-NL,Milwaukee,0,Pittsburgh,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Pinder,MLB-AL,Oakland,0,Houston,1,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Plawecki,MLB-NL,New York,0,Atlanta,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gregory Polanco,MLB-NL,Pittsburgh,1,Milwaukee,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Dalton Pompey,MLB-AL,Toronto,1,Seattle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Buster Posey,MLB-NL,San Francisco,1,Los Angeles,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Martin Prado,MLB-NL,Miami,0,Washington,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Jurickson Profar,MLB-AL,Texas,0,Los Angeles,1,4,3,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
Yasiel Puig,MLB-NL,Los Angeles,0,San Francisco,1,4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0
Albert Pujols,MLB-AL,Los Angeles,1,Texas,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Roman Quinn,MLB-NL,Philadelphia,0,Chicago,1,5,1,1,0,0,0,0,0,2,0,1,2,0,0,0,1,0
Alexei Ramirez,MLB-AL,Tampa Bay,0,New York,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jose Ramirez,MLB-AL,Cleveland,0,Kansas City,1,4,3,1,3,3,0,0,1,1,0,0,0,0,0,0,0,0
Wilson Ramos,MLB-NL,Washington,1,Miami,1,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
J.T. Realmuto,MLB-NL,Miami,0,Washington,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anthony Recker,MLB-NL,Atlanta,1,New York,1,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0
Michael Reed,MLB-NL,Milwaukee,0,Pittsburgh,1,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
Tony Renda,MLB-NL,Cincinnati,1,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anthony Rendon,MLB-NL,Washington,1,Miami,1,4,4,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Hunter Renfroe,MLB-NL,San Diego,0,Arizona,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jose Reyes,MLB-NL,New York,0,Atlanta,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Rene Rivera,MLB-NL,New York,0,Atlanta,1,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
