Date,VH,Team,Pitcher,Open
2017-04-10,H,KAN,IKENNEDY-R,-135
2017-04-10,V,HOU,CMORTON-R,115
2017-04-10,H,SEA,JPAXTON-L,-130
2017-04-10,V,TAM,ACOBB-R,120
2017-04-10,H,NYY,MPINEDA-R,-135
2017-04-11,V,ATL,BCOLON-R,120
2017-04-11,H,MIA,DSTRAILY-R,-135
2017-04-11,V,STL,LLYNN-R,125
2017-04-11,H,WAS,GGONZALEZ-L,-140
2017-04-11,V,NYM,MHARVEY-R,-140
2017-04-11,H,PHI,CBUCHHOLZ-R,125
2017-04-11,V,CIN,RDAVIS-R,155
2017-04-11,H,PIT,JTAILLON-R,-175
2017-04-11,V,SDG,JWEAVER-R,155
2017-04-11,H,COL,ASENZATELA-R,-175
2017-04-11,V,ARI,RRAY-L,120
2017-04-11,H,SFO,JSAMARDZIJA-R,-135
2017-04-11,V,MIN,HSANTIAGO-L,120
2017-04-11,H,DET,MBOYD-L,-135
2017-04-11,V,CWS,JSHIELDS-R,185
2017-04-11,H,CLE,CCARRASCO-R,-210
2017-04-11,V,BAL,DBUNDY-R,120
2017-04-11,H,BOS,DPOMERANZ-L,-135
2017-04-11,V,TEX,CHAMELS-L,-104
2017-04-11,H,LAA,TSKAGGS-L,-106
2017-04-11,V,HOU,JMUSGROVE-R,-120
2017-04-11,H,SEA,AMIRANDA-L,110
2017-04-11,V,MIL,WPERALTA-R,155
2017-04-11,H,TOR,JHAPP-L,-175
2017-04-12,V,SDG,ZLEE-R,146
2017-04-12,H,COL,KFREELAND-L,-166
2017-04-12,V,CIN,AGARRETT-L,136
2017-04-12,H,PIT,INOVA-R,-151
2017-04-12,V,NYM,ZWHEELER-R,101
2017-04-12,H,PHI,VVELASQUEZ-R,-111
2017-04-12,V,STL,MLEAKE-R,176
2017-04-12,H,WAS,MSCHERZER-R,-201
2017-04-12,V,ATL,JGARCIA-L,111
2017-04-12,H,MIA,TKOEHLER-R,-126
2017-04-12,V,LOS,BMCCARTHY-R,126
2017-04-12,H,CUB,JLACKEY-R,-141
2017-04-12,V,ARI,SMILLER-R,116
