Date,Team,PITCHER
2019-04-07,TAM,Chirinos
2019-04-07,SFO,Pomeranz
2019-04-07,BOS,ndecid
2019-04-07,ARI,Kelly
2019-04-08,PIT,Taillon
2019-04-08,CUB,Lester
2019-04-08,WAS,Sanchez
2019-04-08,PHI,Velasquez
2019-04-08,LAD,Ryu
2019-04-08,STL,Mikolas
2019-04-08,ATL,Teheran
2019-04-08,COL,Freeland
2019-04-08,SDG,Lauer
2019-04-08,SFO,Bumgarner
2019-04-08,TAM,Snell
2019-04-08,CWS,Rodon
2019-04-08,OAK,Estrada
2019-04-08,BAL,Cashner
2019-04-08,NYY,Tanaka
2019-04-08,HOU,Verlander
2019-04-08,SEA,Hernandez
2019-04-08,KAN,Bailey
2019-04-08,MIL,Chacin
2019-04-08,LAA,Cahill
2019-04-09,MIA,Urena
2019-04-09,CIN,Castillo
2019-04-09,WAS,Strasburg
2019-04-09,PHI,Nola
2019-04-09,LAD,Stripling
2019-04-09,STL,Hudson
2019-04-09,ATL,Fried
2019-04-09,COL,Marquez
2019-04-09,SDG,Lucchesi
2019-04-09,SFO,Holland
2019-04-09,CLE,Kluber
2019-04-09,DET,Zimmermann
2019-04-09,TOR,Shoemaker
2019-04-09,BOS,Sale
2019-04-09,TAM,Morton
2019-04-09,CWS,Santana
2019-04-09,OAK,Anderson
2019-04-09,BAL,Means
2019-04-09,NYY,Loaisiga
2019-04-09,HOU,Cole
2019-04-09,SEA,Gonzales
2019-04-09,KAN,Junis
2019-04-09,MIN,Gibson
2019-04-09,NYM,Degrom
2019-04-09,TEX,Minor
2019-04-09,ARI,Greinke
2019-04-09,MIL,Peralta
2019-04-09,LAA,Harvey
2019-04-10,SDG,Margevicius
2019-04-10,SFO,Rodriguez
2019-04-10,MIA,Richards
2019-04-10,CIN,Mahle
2019-04-10,WAS,Hellickson
2019-04-10,PHI,Pivetta
2019-04-10,LAD,Maeda
2019-04-10,STL,Flaherty
2019-04-10,PIT,Lyles
2019-04-10,CUB,Darvish
2019-04-10,CLE,Bauer
2019-04-10,DET,Boyd
2019-04-10,TAM,Glasnow
2019-04-10,CWS,Lopez
2019-04-10,OAK,Montas
2019-04-10,BAL,Straily
2019-04-10,NYY,Paxton
2019-04-10,HOU,Mchugh
2019-04-10,SEA,Kikuchi
2019-04-10,KAN,Fillmyer
2019-04-10,MIN,Odorizzi
2019-04-10,NYM,Syndergaard
2019-04-10,TEX,Lynn
2019-04-10,ARI,Ray
2019-04-10,MIL,Woodruff
2019-04-10,LAA,Pena
2019-04-11,MIA,Lopez
2019-04-11,CIN,Gray
2019-04-11,LAD,Buehler
2019-04-11,STL,Wacha
2019-04-11,NYM,Matz
2019-04-11,ATL,Gausman
2019-04-11,PIT,Musgrove
2019-04-11,CUB,Quintana
2019-04-11,SDG,Avila
2019-04-11,ARI,Godley
2019-04-11,COL,Gray
2019-04-11,SFO,Samardzija
2019-04-11,OAK,Brooks
2019-04-11,BAL,Bundy
2019-04-11,CLE,Bieber
2019-04-11,DET,Turnbull
2019-04-11,SEA,Leake
2019-04-11,KAN,Lopez
2019-04-11,TOR,Sanchez
2019-04-11,BOS,Eovaldi
2019-04-12,PIT,Williams
2019-04-12,WAS,Corbin
2019-04-12,PHI,Arrieta
2019-04-12,MIA,Alcantara
2019-04-12,NYM,Wheeler
2019-04-12,ATL,Wright
2019-04-12,SDG,Paddack
2019-04-12,ARI,Weaver
2019-04-12,MIL,Burnes
2019-04-12,LAD,Urias
